,forecast,lower,upper
2025-10-27,-0.00028228964462491423,-0.041718848641265766,0.04115426935201594
2025-10-28,0.00119780325471092,-0.04024157182858245,0.042637178338004296
2025-10-29,-0.000584882197516773,-0.042132187539730574,0.04096242314469702
2025-10-30,0.0008256226309125406,-0.04077901328900199,0.04243025855082708
2025-10-31,-0.00032376706420043076,-0.04196642840346725,0.04131889427506639
2025-11-03,0.0006128455900809544,-0.04105504646542697,0.04228073764558889
2025-11-04,-0.00015037968320096677,-0.04183501716694744,0.0415342578005455
2025-11-05,0.0004715559858437734,-0.041224197191343535,0.04216730916303108
2025-11-06,-3.52458588682667e-05,-0.04173837851472405,0.04166788679698752
2025-11-07,0.0003777359374612986,-0.041330296166799646,0.042085768041722246
2025-11-10,4.1206057234635933e-05,-0.041670079092896974,0.041752491207366245
2025-11-11,0.00031543693445953654,-0.04139800818433826,0.04202888205325734
2025-11-12,9.197215928745557e-05,-0.04162290717426059,0.0418068514928355
2025-11-13,0.0002740687424587046,-0.04144176292051893,0.04198990040543635
2025-11-14,0.00012568219886538386,-0.04159078182412628,0.04184214622185705
2025-11-17,0.0002465991646651516,-0.04147028475686886,0.04196348308619916
2025-11-18,0.00014806656012997645,-0.04156909618284924,0.0418652293031092
2025-11-19,0.00022835863570655251,-0.041488989251085295,0.041945706522498405
2025-11-20,0.00016293037030336654,-0.04155454045644158,0.04188040119704832
2025-11-21,0.0002162464402010367,-0.0415013060217366,0.04193379890213868
2025-11-24,0.00017280033488529297,-0.04154480633489941,0.04189040700467
2025-11-25,0.0002082036208125848,-0.04150943904438285,0.04192584628600802
2025-11-26,0.00017935425341036144,-0.04153831231367629,0.04189702082049701
2025-11-27,0.00020286297520578304,-0.04151481946336366,0.041920545413775226
2025-11-28,0.00018370622931429643,-0.04153398674833776,0.04190139920696635
2025-12-01,0.00019931664473137197,-0.041518383331149884,0.041917016620612625
2025-12-02,0.00018659605685731318,-0.04153110856603327,0.0419043006797479
2025-12-03,0.00019696178714304606,-0.04152074592148483,0.041914669495770926
2025-12-04,0.00018851497906936573,-0.04152919477856987,0.0419062247367086
2025-12-05,0.00019539809918409548,-0.04152231301905303,0.041913109217421224
