date,rolling_mae,rolling_rmse,rolling_r2,rolling_ic
2023-05-08,0.013478700069648481,0.0171779856739934,0.09951359631538315,0.510509774894377
2023-05-09,0.013557154831252517,0.017222857339351163,0.09472022439746175,0.5099164467214108
2023-05-10,0.013293408673847108,0.017033204974841395,0.0797670240325532,0.4804813318717783
2023-05-11,0.01320762291478656,0.016993439021423574,0.08208863743359385,0.4821273393387434
2023-05-12,0.013296851091834662,0.01708834409053351,0.08604673464794954,0.4646779784468101
2023-05-15,0.01344878173832751,0.017133915019235817,0.08860277997887755,0.466824829453052
2023-05-16,0.013762720592529672,0.017316039059893606,0.08758636555589117,0.4495845980791646
2023-05-17,0.013556923156563396,0.017202180242381168,0.08328790858549717,0.42696482399068736
2023-05-18,0.014101833128274281,0.017762076606445843,0.08661753187703825,0.4337551751156752
2023-05-19,0.014081643957363471,0.017760582451526365,0.0869138597307989,0.4379251826616091
2023-05-22,0.014098234263662893,0.017764294911191216,0.08673981900351646,0.4391849338627077
2023-05-23,0.01383919618605768,0.017430727355165015,0.09094652252963908,0.46007155119087717
2023-05-24,0.013920383920441147,0.017540663977162977,0.09551102482121976,0.4805180438021239
2023-05-25,0.014164434750316712,0.017642640424389386,0.08916678008664058,0.4592703468105037
2023-05-26,0.014081641026446079,0.017512801417445472,0.09137906335499124,0.4686676847723476
2023-05-29,0.013927068357775484,0.017458583476602785,0.09437993720377247,0.4724280310883758
2023-05-30,0.014011620548554532,0.01747162216866239,0.09407616244674366,0.4744311720693217
2023-05-31,0.013967981302048602,0.017448922515893497,0.09699977794102932,0.49129761859432897
2023-06-01,0.013707569360372906,0.01729098113072475,0.09700371387467288,0.48039182151694065
2023-06-02,0.01369575255383041,0.017271140893936218,0.10053054230566505,0.47885578048591665
2023-06-05,0.013637295089608854,0.017237161116182554,0.10069070823102366,0.4782779443643162
2023-06-06,0.013516566531793043,0.017202379013097315,0.10163784019843947,0.47473107213367327
2023-06-07,0.013640716192729533,0.01735992869838573,0.09874894010030488,0.46555824972138266
2023-06-08,0.01353206754155507,0.017335916988309236,0.09972084676787774,0.4696698787744305
2023-06-09,0.013688027836646242,0.017435195224132487,0.09342771289044349,0.44981544800561846
2023-06-12,0.014097160442960525,0.017865714036837343,0.08728818866351473,0.4366786039714173
2023-06-13,0.014121115584138921,0.017876293180546714,0.08508785424434173,0.42828349113048036
2023-06-14,0.014318831923810383,0.017953665711883834,0.08111577688857374,0.4040209638521889
2023-06-15,0.014725929528965153,0.018470026453551874,0.06547797552986734,0.3693342352526818
2023-06-16,0.014637494895266813,0.018453660097447824,0.06540923737268611,0.36715335916360536
2023-06-19,0.014600510878147668,0.018423733352802844,0.06486160320905099,0.36524562086984097
2023-06-20,0.01462448674381439,0.018430517519775876,0.06556474861954087,0.36481521820917334
2023-06-21,0.014704268131798478,0.01851534830217046,0.06548925637406011,0.3545702924315385
2023-06-22,0.01482238195847747,0.01856529580229601,0.0693302740724917,0.37254585968964365
2023-06-23,0.01433477865099147,0.018150723936789973,0.05658122760344453,0.32462754116162335
2023-06-26,0.013979974810434278,0.017816584543288366,0.06487896180428876,0.3523238642388982
2023-06-27,0.014081712551479608,0.017895186106462423,0.06677565034817057,0.3616872810533609
2023-06-28,0.013831042933837938,0.017566692478524933,0.05990361131051436,0.3307785423206818
2023-06-29,0.013669156294871093,0.017463784282562154,0.05850872404590535,0.32179123458572484
2023-06-30,0.01373786864578209,0.017474152157478426,0.057553269099102966,0.3174771950660773
2023-07-03,0.013505552122165521,0.01735137936865284,0.05548222894520949,0.30410240459419674
2023-07-04,0.013260746440522756,0.017083261565008414,0.036121893377798586,0.22510558613648513
